"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2015 QS8)","2116-2116","1","5.2e-6","8.04","26.5","0.017","-6.41","-6.41","0","bK15Q08S"
"(2021 FO1)","2075-2121","52","1.1e-4","7.22","29.5","0.004","-6.41","-6.63","0","bK21F01O"
"(2022 SE6)","2120-2120","2","3.0e-6","3.93","25.8","0.024","-6.41","-6.44","0","bK22S06E"
"(2021 NM3)","2111-2120","8","5.3e-6","8.21","26.6","0.016","-6.42","-6.49","0","bK21N03M"
"(2022 OC3)","2056-2121","67","2.3e-5","3.55","28.3","0.007","-6.42","-6.66","0","bK22O03C"
"(2012 UU158)","2041-2070","6","2.6e-6","12.27","26.9","0.014","-6.43","-6.47","0","bK12UF8U"
"(2002 TZ59)","2040-2040","1","5.2e-9","28.40","23.0","0.085","-6.43","-6.43","0","bK02T59Z"
"(2017 WE28)","2039-2099","13","1.8e-6","8.79","26.7","0.015","-6.43","-6.63","0","bK17W28E"
"(2008 GM2)","2071-2122","61","4.1e-5","4.62","28.4","0.007","-6.43","-7.38","0","bK08G02M"
"(2008 TS10)","2068-2122","84","5.9e-5","3.18","28.8","0.006","-6.43","-7.34","0","bK08T10S"
"(2009 EW)","2067-2081","7","1.8e-6","12.82","26.4","0.018","-6.43","-6.62","0","bK09E00W"
"(2021 EW1)","2103-2103","1","2.7e-5","8.82","28.2","0.008","-6.43","-6.43","0","bK21E01W"
"(2021 XK1)","2089-2121","5","3.3e-6","9.10","26.3","0.019","-6.43","-6.66","0","bK21X01K"
"(2023 XG4)","2064-2106","14","1.5e-5","8.56","27.8","0.009","-6.43","-6.70","0","bK23X04G"
"(2013 PG10)","2056-2122","33","9.5e-6","6.87","27.7","0.010","-6.44","-6.57","0","bK13P10G"
"(2014 SR223)","2063-2063","1","1.6e-6","15.23","26.7","0.015","-6.44","-6.44","0","bK14SM3R"
"(2019 XV)","2064-2123","83","1.2e-4","1.32","29.2","0.005","-6.44","-6.93","0","bK19X00V"
"(2023 GM1)","2085-2120","36","1.1e-5","6.32","27.3","0.012","-6.44","-6.89","0","bK23G01M"
"(2018 RQ4)","2082-2117","20","6.3e-6","6.76","26.9","0.014","-6.45","-7.05","0","bK18R04Q"
"(2022 GB2)","2058-2108","49","4.1e-5","5.66","28.9","0.006","-6.45","-6.74","0","bK22G02B"
"(2022 SL4)","2118-2118","2","1.5e-6","15.30","25.9","0.022","-6.45","-6.70","0","bK22S04L"
"(2010 FD)","2043-2104","5","1.6e-6","9.74","26.0","0.021","-6.45","-6.54","0","bK10F00D"
"(2004 FY3)","2116-2122","5","7.8e-7","11.78","25.1","0.032","-6.46","-6.69","0","bK04F03Y"
"(2020 TD7)","2092-2120","13","4.9e-6","9.14","26.8","0.015","-6.46","-6.92","0","bK20T07D"
"(2003 KF4)","2120-2120","3","1.2e-7","9.72","23.3","0.075","-6.46","-6.73","0","bK03K04F"
"(2023 UX27)","2032-2122","13","5.3e-7","8.65","25.9","0.022","-6.46","-6.82","0","bK23U27X"
"(2019 NX5)","2069-2122","121","7.8e-5","1.80","29.1","0.005","-6.47","-6.81","0","bK19N05X"
"(2010 FN)","2078-2120","17","4.1e-6","6.80","26.6","0.016","-6.47","-6.96","0","bK10F00N"
"(2021 XZ2)","2113-2116","3","1.3e-6","18.70","26.1","0.021","-6.47","-6.79","0","bK21X02Z"
"(2015 EG7)","2090-2118","10","6.2e-6","12.80","27.4","0.011","-6.47","-6.55","0","bK15E07G"
"(2016 NP56)","2057-2061","2","1.5e-6","2.09","26.2","0.019","-6.48","-6.48","0","bK16N56P"
"(2017 UK3)","2109-2121","5","6.3e-6","13.37","27.2","0.012","-6.48","-6.68","0","bK17U03K"
"(2023 MD4)","2096-2122","8","5.7e-6","8.55","26.8","0.015","-6.48","-6.70","0","bK23M04D"
"(2023 UZ3)","2067-2121","25","2.1e-6","14.20","26.4","0.018","-6.48","-6.98","0","bK23U03Z"
"(2023 UR10)","2030-2032","2","1.7e-5","9.69","30.0","0.003","-6.48","-6.49","0","bK23U10R"
"(2013 TV132)","2091-2121","11","3.9e-6","9.15","26.5","0.017","-6.49","-6.94","0","bK13TD2V"
"(2012 EP10)","2056-2122","116","8.4e-5","2.79","29.2","0.005","-6.49","-6.78","0","bK12E10P"
"(2018 FE3)","2118-2118","1","1.0e-5","6.05","27.2","0.012","-6.49","-6.49","0","bK18F03E"
"(2023 HT6)","2108-2116","4","2.7e-6","8.29","26.1","0.020","-6.49","-6.55","0","bK23H06T"
"(2009 WW7)","2059-2121","46","4.5e-5","8.19","28.9","0.006","-6.50","-6.93","0","bK09W07W"
